,ChEMBL_ID,pIC50
0,CHEMBL303519,5.01
1,CHEMBL292943,7.3
2,CHEMBL61682,7.6
3,CHEMBL64487,6.44
4,CHEMBL64597,6.52
5,CHEMBL291824,7.16
6,CHEMBL59942,7.31
7,CHEMBL61657,7.22
8,CHEMBL302183,6.92
9,CHEMBL304692,5.64
10,CHEMBL555670,6.44
11,CHEMBL291380,6.6
12,CHEMBL64671,6.31
13,CHEMBL62829,7.09
14,CHEMBL64119,6.21
15,CHEMBL302904,7.64
16,CHEMBL60957,6.35
17,CHEMBL1204116,7.11
18,CHEMBL42,6.86
19,CHEMBL1203260,6.58
20,CHEMBL1202222,6.7
21,CHEMBL2092961,7.22
22,CHEMBL1202211,7.77
23,CHEMBL1202213,8.7
24,CHEMBL125455,7.19
25,CHEMBL1202216,8.3
26,CHEMBL1202217,6.77
27,CHEMBL1202202,7.92
28,CHEMBL54,8.22666666667
29,CHEMBL1202221,6.84
30,CHEMBL1202220,6.61
31,CHEMBL1203257,6.12
32,CHEMBL1202219,7.89
33,CHEMBL1202210,6.89
34,CHEMBL341497,7.43
35,CHEMBL1202215,8.3
36,CHEMBL1202212,6.68
37,CHEMBL1202209,7.17
38,CHEMBL1202204,6.64
39,CHEMBL1202206,8.16
40,CHEMBL1202208,7.14
41,CHEMBL1204119,7.35
42,CHEMBL1202205,8.3
43,CHEMBL1202224,6.12
44,CHEMBL1202225,7.5
45,CHEMBL1202223,7.25
46,CHEMBL1202214,8.0
47,CHEMBL22242,7.49
48,CHEMBL831,7.27
49,CHEMBL415300,7.47
50,CHEMBL72292,6.85
51,CHEMBL81485,5.77
52,CHEMBL70319,7.52
53,CHEMBL73589,7.64
54,CHEMBL83658,6.06
55,CHEMBL313189,5.02
56,CHEMBL430798,7.28
57,CHEMBL6437,5.15
58,CHEMBL19331,5.99
59,CHEMBL2303762,5.62
60,CHEMBL349034,7.1
61,CHEMBL164792,8.0
62,CHEMBL331077,5.72
63,CHEMBL315772,8.06
64,CHEMBL553331,7.37
65,CHEMBL305660,6.58
66,CHEMBL338611,7.39
67,CHEMBL14376,6.96
68,CHEMBL11425,7.17
69,CHEMBL11265,5.96
70,CHEMBL417608,5.75
71,CHEMBL416523,7.53
72,CHEMBL11262,5.59
73,CHEMBL11592,8.0
74,CHEMBL116463,6.26
75,CHEMBL326263,5.65
76,CHEMBL113956,5.54
77,CHEMBL115280,6.27
78,CHEMBL325750,6.91
79,CHEMBL115222,5.67
80,CHEMBL325516,5.58
81,CHEMBL114484,6.32
82,CHEMBL326962,6.25
83,CHEMBL116233,5.33
84,CHEMBL111964,5.31
85,CHEMBL113282,6.05
86,CHEMBL112170,5.82
87,CHEMBL325063,5.15
88,CHEMBL112957,5.39
89,CHEMBL113449,5.6
90,CHEMBL359002,6.12
91,CHEMBL356358,6.09
92,CHEMBL2373205,6.06
93,CHEMBL144811,6.6
94,CHEMBL26929,7.7
95,CHEMBL424125,6.82
96,CHEMBL2373210,6.19
97,CHEMBL286725,6.16
98,CHEMBL26677,7.89
99,CHEMBL35226,5.47
100,CHEMBL84931,7.44
101,CHEMBL314107,6.35
102,CHEMBL85735,7.26
103,CHEMBL611207,7.155
104,CHEMBL608530,6.005
105,CHEMBL301242,7.645
106,CHEMBL59725,7.02
107,CHEMBL139926,6.93
108,CHEMBL302374,7.26
109,CHEMBL262724,7.12
110,CHEMBL69451,7.04
111,CHEMBL71327,7.79
112,CHEMBL71865,8.13
113,CHEMBL180060,6.79
114,CHEMBL370713,7.21
115,CHEMBL194493,7.86
116,CHEMBL195057,8.08
117,CHEMBL366904,6.96
118,CHEMBL175734,6.6
119,CHEMBL180010,7.09
120,CHEMBL300780,5.89
121,CHEMBL54786,7.36
122,CHEMBL708,8.3
123,CHEMBL69584,6.16
124,CHEMBL107742,6.73
125,CHEMBL320597,6.95
126,CHEMBL201019,5.28
127,CHEMBL37333,5.41
128,CHEMBL1729,6.485
129,CHEMBL244989,6.75
130,CHEMBL394541,6.76
131,CHEMBL244774,7.64
132,CHEMBL244773,6.43
133,CHEMBL398175,5.89
134,CHEMBL244562,7.39
135,CHEMBL241973,6.97
136,CHEMBL110365,6.65
137,CHEMBL231156,6.17
138,CHEMBL390253,7.05
139,CHEMBL250689,6.0
140,CHEMBL249854,6.19
141,CHEMBL259415,5.16
142,CHEMBL261102,5.82
143,CHEMBL261019,5.18
144,CHEMBL261434,5.4
145,CHEMBL259776,5.28
146,CHEMBL260907,6.0
147,CHEMBL259199,5.82
148,CHEMBL406221,6.85
149,CHEMBL392158,8.3
150,CHEMBL502017,7.77
151,CHEMBL496739,6.07
152,CHEMBL503468,6.16
153,CHEMBL3084502,7.32
154,CHEMBL445102,8.35
155,CHEMBL3084515,8.72
156,CHEMBL3084512,7.58
157,CHEMBL3084503,6.68
158,CHEMBL461571,5.45
159,CHEMBL522460,5.435
160,CHEMBL485755,5.44
161,CHEMBL521030,5.64
162,CHEMBL487984,5.57
163,CHEMBL487788,5.96
164,CHEMBL487985,5.72
165,CHEMBL1255588,8.262
166,CHEMBL478034,5.95
167,CHEMBL477821,5.69
168,CHEMBL489576,5.57
169,CHEMBL582945,5.8
170,CHEMBL574700,6.32
171,CHEMBL584554,5.8
172,CHEMBL1086626,5.97
173,CHEMBL1086754,5.6
174,CHEMBL1086756,5.43
175,CHEMBL1276708,7.49
176,CHEMBL1276709,7.15
177,CHEMBL1276738,8.1
178,CHEMBL1276739,7.96
179,CHEMBL23464,9.17
180,CHEMBL1276763,8.3
181,CHEMBL1276764,6.96
182,CHEMBL1276765,6.91
183,CHEMBL1276325,9.54
184,CHEMBL1276326,8.96
185,CHEMBL1276327,8.89
186,CHEMBL1276350,8.57
187,CHEMBL1276351,7.17
188,CHEMBL1276238,6.59
